Time	Step	Training loss	Validation loss
16:35:55	1501	0.1327	0.1574
16:31:14	1401	0.0378	0.1572
16:26:39	1301	0.2457	0.2474
16:22:03	1201	0.0606	0.1321
16:17:19	1101	0.0272	0.2557
16:12:44	1001	0.0734	0.1688
16:08:12	901	0.1761	0.1008
16:03:42	801	0.1071	0.1565
15:59:14	701	0.1446	0.1182
15:54:52	601	0.0335	0.1968
15:50:24	501	0.1858	0.2107
15:46:04	401	0.2004	0.1756
15:41:38	301	0.2127	0.0805
15:37:17	201	0.2930	0.2642
15:32:52	101	0.2302	0.2674
15:28:26	1	4.1829	4.2799
