Time	Step	Training loss	Validation loss
20:07:52	1701	0.0000	0.0000
20:04:02	1601	4.6031	0.0000
20:00:25	1501	0.0000	0.0000
19:56:51	1401	0.0000	0.0000
19:53:17	1301	4.1322	0.0000
19:49:42	1201	0.0000	0.0000
19:46:08	1101	0.0000	0.0000
19:42:18	1001	0.0000	0.0000
19:38:44	901	5.9078	0.0000
19:35:10	801	0.0000	0.0000
19:31:35	701	5.5867	0.0000
19:28:01	601	0.0002	0.0000
19:24:26	501	5.2577	0.0000
19:20:04	401	1.0832	0.0000
19:16:23	301	0.0000	0.0004
19:12:49	201	0.0000	0.0000
19:09:03	101	0.0008	0.6317
19:05:19	1	5.1675	7.8553
