Time	Step	Training loss	Validation loss
21:38:18	1701	0.0000	0.0000
21:34:34	1601	0.0000	0.0000
21:30:35	1501	0.0000	0.0000
21:26:50	1401	0.0000	0.0000
21:23:06	1301	0.0000	0.0000
21:19:27	1201	0.0000	0.0000
21:15:44	1101	6.1804	0.0000
21:12:05	1001	0.0000	0.0000
21:08:19	901	0.0000	0.0000
21:04:36	801	3.3839	0.0000
21:00:55	701	0.0000	0.0000
20:56:58	601	0.0000	0.0000
20:53:05	501	4.5558	0.0000
20:49:04	401	0.0000	0.0000
20:45:18	301	3.4220	0.0000
20:41:19	201	1.1038	3.9343
20:37:26	101	0.3428	0.0001
20:33:34	1	5.6472	6.5490
